ID,Title,Description,Type,Target,Bonus,Est. Income,Wait Time (Sec),Wait Growth,Power Multiplier,BASE COST,COST FACTOR,MaxLevel
1_Global_Production_05,Global Production 05,Global energy production +100%,Multiplier,GlobalProduction,1.00,11,600,2.15,2.00,6732,4.30,3
1_Global_Production_06,Global Production 06,Global energy production +5%,Multiplier,GlobalProduction,0.05,34,60,1.20,1.05,2020,1.26,40
1_Global_Production_07,Global Production 07,Global energy production +20%,Multiplier,GlobalProduction,0.20,118,900,1.35,1.20,106029,1.62,35
1_Global_Production_08,Global Production 08,Global energy production +30%,Multiplier,GlobalProduction,0.30,1149,1800,1.45,1.30,2067566,1.89,30
1_Global_Production_09,Global Production 09,Global energy production +10%,Multiplier,GlobalProduction,0.10,12262,7200,1.25,1.10,88285047,1.38,100
1_Global_Production_10,Global Production 10,Global energy production +100%,Multiplier,GlobalProduction,1.00,122618,3600,2.15,2.00,441425234,4.30,5
1_Global_Production_11,Global Production 11,Global energy production +10%,Multiplier,GlobalProduction,0.10,735709,600,1.25,1.10,441425234,1.38,100
1_Global_Production_12,Global Production 12,Global energy production +10%,Multiplier,GlobalProduction,0.10,8092796,1800,1.25,1.10,14567032730,1.38,20
1_Global_Production_13,Global Production 13,Global energy production x2,Multiplier,GlobalProduction,2.00,24278388,7200,1.60,3.00,174804392763,4.80,7
1_Global_Production_14,Global Production 14,Global energy production +20%,Multiplier,GlobalProduction,0.20,3107633649,300,1.35,1.20,932290094736,1.62,100
1_Global_Production_15,Global Production 15,Global energy production +30%,Multiplier,GlobalProduction,0.30,80798474877,3600,1.45,1.30,290874509557632,1.89,40
1_Global_Production_16,Global Production 16,Global energy production +10%,Multiplier,GlobalProduction,0.10,1090779410841,10800,1.25,1.10,11780417637084100,1.38,50
1_Global_Production_17,Global Production 17,Global energy production x10,Multiplier,GlobalProduction,10.00,6544676465047,43200,3.00,11.00,282730023290018000,33.00,3
1_Global_Production_18,Global Production 18,Global energy production +2%,Multiplier,GlobalProduction,0.02,6544676465046720,300,1.17,1.02,1963402939514020000,1.19,50
1_Global_Production_19,Global Production 19,Global energy production +5%,Multiplier,GlobalProduction,0.05,13089352930093400,1800,1.20,1.05,23560835274168200000,1.26,200
1_Global_Production_20,Global Production 20,Global energy production +1%,Multiplier,GlobalProduction,0.01,78536117580560600,7200,1.16,1.01,565460046580037000000,1.17,600
1_Global_Production_21,Global Production 21,Global energy production x10,Multiplier,GlobalProduction,10.00,471216705483364000,86400,11.15,11.00,40713123353762600000000,122.65,1
1_Global_Production_22,Global Production 22,Global energy production +10%,Multiplier,GlobalProduction,0.10,5183383760317000000,102200,1.25,1.10,529741820304398000000000,1.38,10
1_Logistic_Max Cap_01,Logistic Capacity 1,Logistic Max Cap +100%,Multiplier,LogisticsCapacity,1.00,11,150,2.15,2.00,1683,4.30,3
1_Logistic_Max Cap_02,Logistic Capacity 2,Logistic Max Cap +5%,Multiplier,LogisticsCapacity,0.05,34,15,1.20,1.05,505,1.26,40
1_Logistic_Max Cap_03,Logistic Capacity 3,Logistic Max Cap +20%,Multiplier,LogisticsCapacity,0.20,118,900,1.35,1.20,106029,1.62,35
1_Logistic_Max Cap_04,Logistic Capacity 4,Logistic Max Cap +30%,Multiplier,LogisticsCapacity,0.30,1149,1800,1.45,1.30,2067566,1.89,30
1_Logistic_Max Cap_05,Logistic Capacity 5,Logistic Max Cap +10%,Multiplier,LogisticsCapacity,0.10,12262,7200,1.25,1.10,88285047,1.38,100
1_Logistic_Max Cap_06,Logistic Capacity 6,Logistic Max Cap +100%,Multiplier,LogisticsCapacity,1.00,122618,3600,2.15,2.00,441425234,4.30,5
1_Logistic_Max Cap_07,Logistic Capacity 7,Logistic Max Cap +10%,Multiplier,LogisticsCapacity,0.10,735709,600,1.25,1.10,441425234,1.38,100
1_Logistic_Max Cap_08,Logistic Capacity 8,Logistic Max Cap +10%,Multiplier,LogisticsCapacity,0.10,8092796,1800,1.25,1.10,14567032730,1.38,20
1_Logistic_Max Cap_09,Logistic Capacity 9,Logistic Max Cap x2,Multiplier,LogisticsCapacity,2.00,24278388,7200,1.60,3.00,174804392763,4.80,7
1_Logistic_Max Cap_10,Logistic Capacity 10,Logistic Max Cap +20%,Multiplier,LogisticsCapacity,0.20,3107633649,300,1.35,1.20,932290094736,1.62,100
1_Logistic_Max Cap_11,Logistic Capacity 11,Logistic Max Cap +30%,Multiplier,LogisticsCapacity,0.30,80798474877,3600,1.45,1.30,290874509557632,1.89,40
1_Logistic_Max Cap_12,Logistic Capacity 12,Logistic Max Cap +10%,Multiplier,LogisticsCapacity,0.10,1090779410841,10800,1.25,1.10,11780417637084100,1.38,50
1_Logistic_Max Cap_13,Logistic Capacity 13,Logistic Max Cap x10,Multiplier,LogisticsCapacity,10.00,6544676465047,43200,3.00,11.00,282730023290018000,33.00,3
1_Logistic_Max Cap_14,Logistic Capacity 14,Logistic Max Cap +2%,Multiplier,LogisticsCapacity,0.02,6544676465046720,300,1.17,1.02,1963402939514020000,1.19,50
1_Logistic_Max Cap_15,Logistic Capacity 15,Logistic Max Cap +5%,Multiplier,LogisticsCapacity,0.05,13089352930093400,1800,1.20,1.05,23560835274168200000,1.26,200
1_Logistic_Max Cap_16,Logistic Capacity 16,Logistic Max Cap +1%,Multiplier,LogisticsCapacity,0.01,78536117580560600,7200,1.16,1.01,565460046580037000000,1.17,600
1_Logistic_Max Cap_17,Logistic Capacity 17,Logistic Max Cap x10,Multiplier,LogisticsCapacity,10.00,471216705483364000,86400,11.15,11.00,40713123353762600000000,122.65,1
1_Logistic_Max Cap_18,Logistic Capacity 18,Logistic Max Cap +10%,Multiplier,LogisticsCapacity,0.10,5183383760317000000,102200,1.25,1.10,529741820304398000000000,1.38,10
